TID,Q4_Age,Q5_Degree,Q6_Math,Q6_Bio,Q6_Phys,Q6_Chem,Q6_EarthS,Q6_EdMat,Q6_EdSci,Q6_EdGen,Q6_Othr,Q13_NumSs,Q15_StCentrd_a,Q15_StCentrd_b,Q15_StCentrd_c,Q15_StCentrd_d,Q15_StCentrd_e,Q15_StCentrd_f,Q15_StCentrd_g,Q16_Lims_a,Q16_Lims_b,Q16_Lims_c,Q16_Lims_d,Q16_Lims_e,Q16_Lims_f,Q16_Lims_g,Q17_Mins,Q19_Didac_a,Q19_Didac_b,Q19_Didac_c
1,2.00,4.00,No,No,No,No,No,No,No,Yes,No,8,2,2,1,1,2,3,1,2,1,3,2,1,1,2,160,3,3,4
2,3.00,4.00,No,No,No,No,No,No,No,Yes,No,12,3,1,4,2,2,3,2,1,1,3,2,1,1,1,180,4,2,3
3,3.00,4.00,No,No,Yes,No,No,No,No,No,Yes,19,3,2,2,3,3,3,3,2,2,3,2,2,1,2,190,2,1,2
4,2.00,5.00,No,No,No,No,No,Yes,No,No,No,16,1,1,2,2,1,1,1,1,2,3,2,2,1,1,200,3,4,3
5,5.00,3.00,No,No,No,No,No,Yes,No,No,No,18,2,1,3,2,2,3,2,1,1,3,2,1,1,1,210,3,1,2
6,6.00,4.00,No,No,No,No,No,No,No,Yes,No,26,3,3,3,3,3,4,3,2,1,3,2,2,1,1,180,3,4,2
7,5.00,5.00,Yes,No,Yes,No,No,No,No,No,No,29,4,2,2,3,4,2,3,3,2,3,2,2,1,1,200,2,2,2
8,2.00,4.00,No,No,No,No,No,Yes,No,No,No,16,1,1,1,1,2,1,1,1,1,2,1,2,1,2,240,3,2,1
9,4.00,4.00,No,No,Yes,No,No,No,No,No,No,30,4,2,2,4,2,1,3,3,3,2,2,2,2,1,150,2,2,2
10,3.00,4.00,Yes,No,No,No,No,No,No,No,No,22,3,2,2,4,2,4,3,1,2,2,3,2,1,1,160,1,2,1
11,3.00,4.00,No,No,No,No,No,No,Yes,No,No,21,2,1,3,3,2,3,2,1,2,2,2,2,1,1,240,1,1,1
12,6.00,6.00,Yes,Yes,No,No,No,No,No,No,No,27,3,2,2,3,3,3,3,3,1,1,2,2,1,1,170,2,1,3
13,3.00,5.00,Yes,No,No,No,No,Yes,No,No,No,27,1,1,1,1,1,1,1,1,1,1,2,1,1,1,200,4,4,3
14,3.00,5.00,Yes,No,No,No,No,No,No,No,Yes,35,2,3,3,3,2,3,2,2,2,2,3,3,2,1,190,2,2,1
15,3.00,4.00,No,No,No,No,No,Yes,No,No,No,24,3,2,3,2,2,3,2,1,2,3,2,1,1,2,240,1,1,4
16,2.00,5.00,Yes,No,No,No,No,Yes,No,No,No,21,2,1,2,3,2,2,2,2,1,3,2,1,1,3,150,2,1,2
17,1.00,4.00,No,No,No,No,No,No,No,Yes,No,19,1,2,3,1,2,3,2,1,2,2,3,2,1,1,170,1,3,4
18,2.00,4.00,No,No,No,Yes,No,No,No,No,No,18,3,3,1,2,3,3,3,3,2,1,2,2,1,1,220,4,4,4
19,2.00,5.00,No,No,No,Yes,No,No,No,No,No,25,3,2,1,2,3,4,2,3,1,3,2,2,1,2,170,3,3,3
20,2.00,4.00,Yes,No,No,No,No,No,No,No,No,24,2,3,3,3,2,3,4,2,1,3,3,2,1,1,160,2,2,3
21,3.00,4.00,No,No,No,No,No,No,No,Yes,Yes,28,2,2,1,1,2,2,1,1,2,2,2,2,1,1,180,3,3,4
22,4.00,4.00,Yes,No,No,No,No,No,No,No,No,23,3,3,3,3,3,2,2,2,1,3,2,2,1,1,230,2,1,1
23,3.00,4.00,No,No,No,No,No,No,No,Yes,No,21,2,1,3,3,2,2,2,3,2,1,2,2,1,1,240,1,3,3
24,4.00,5.00,No,Yes,No,No,Yes,No,No,No,No,26,3,2,2,3,3,3,3,1,1,3,2,2,1,1,170,2,1,2
25,5.00,4.00,Yes,No,No,No,No,No,No,No,No,27,4,3,2,3,4,4,4,3,1,1,2,2,1,1,170,1,2,2
26,3.00,4.00,No,No,No,No,No,Yes,No,No,No,29,2,2,3,2,2,2,1,1,2,1,2,1,1,3,180,4,4,3
27,3.00,5.00,Yes,No,Yes,No,No,No,No,No,No,30,3,2,3,3,3,3,3,2,3,3,3,3,1,2,190,1,1,4
28,3.00,4.00,No,No,No,No,No,Yes,No,No,No,23,2,1,1,1,1,2,1,3,1,1,2,1,1,2,240,4,4,3
29,4.00,4.00,No,No,No,No,No,No,No,Yes,No,24,2,1,4,1,1,3,2,1,1,1,2,2,1,1,220,1,4,3
30,5.00,4.00,No,No,No,No,No,No,No,Yes,No,26,2,1,3,2,2,3,1,2,1,3,2,2,1,3,210,3,4,3
